Norwood,42.1825,-71.1879,226,27742.61,22.7
Wayne,40.9086,-74.2609,226,46355.5,70.2
Lake Orion,42.7691,-83.2386,225,34281.1,72.4
Richmond Hill,40.6969,-73.8153,225,19162.31,44.2
Saint James,40.8574,-73.1657,224,42301.5,125.4
Hanover,42.1544,-70.8476,224,39233.2,98.4
Countryside,41.7801,-87.8682,224,22870.76,96.5
Hillside,40.698,-74.2451,224,38946.19,97.2
Bay Shore,40.7333,-73.2587,224,28408.09,36.0
Muncie,40.219,-85.3632,224,30281.14,129.0
West Nyack,41.0948,-73.9509,224,21622.25,37.5
Egg Harbor Township,39.3823,-74.6166,224,25567.09,123.4
